sentence_id,bertscore_my,bertscore_ref,rougeL_my,rougeL_ref,bleu_my,bleu_ref,emotion_my,emotion_ref,novelty_my,novelty_ref,score_my,score_ref,winner
6,79.61492538452148,69.27685141563416,44.14715719063545,17.39130434782609,26.27857981929734,1.6190792438317088,0.1889830444730658,0.9770716547272917,41.66666666666667,58.82352941176471,49.84521248889864,49.37601373108908,1
6,80.16117811203003,69.27685141563416,44.68085106382979,17.39130434782609,22.72877744964763,1.6190792438317088,0.13933751661822957,0.9770716547272917,24.137931034482758,58.82352941176471,47.13979757533682,49.37601373108908,0
6,79.11542654037476,69.27685141563416,39.27272727272727,17.39130434782609,10.945797317294515,1.6190792438317088,0.9887753186945198,0.9770716547272917,43.333333333333336,58.82352941176471,58.31541381865829,49.37601373108908,1
6,75.27334690093994,69.27685141563416,21.978021978021978,17.39130434782609,3.988612321227852,1.6190792438317088,0.25160378973364395,0.9770716547272917,58.620689655172406,58.82352941176471,42.07459456954055,49.37601373108908,0
7,71.4018166065216,71.98497653007507,13.793103448275861,22.77227722772277,0.0,4.867930994206072,0.026122733037720614,0.9991353217287983,63.63636363636363,47.61904761904761,35.1943890335537,51.366935329424614,0
7,89.83147740364075,71.98497653007507,75.9322033898305,22.77227722772277,51.81704479272992,4.867930994206072,0.999719627892003,0.9991353217287983,21.666666666666668,47.61904761904761,75.35908574268808,51.366935329424614,1
7,77.67435908317566,71.98497653007507,35.85657370517928,22.77227722772277,18.918063064500377,4.867930994206072,0.9989695460411894,0.9991353217287983,20.588235294117645,47.61904761904761,56.031245285110955,51.366935329424614,1
7,71.72556519508362,71.98497653007507,10.869565217391305,22.77227722772277,0.0,4.867930994206072,0.9988377098010799,0.9991353217287983,50.0,47.61904761904761,47.80390476964329,51.366935329424614,0
8,82.65112042427063,75.23897290229797,54.777070063694254,31.818181818181817,21.5167661488577,6.782355574704617,0.9999159907154137,0.10212175288330605,34.61538461538461,36.84210526315789,64.3099529090166,40.52157612612081,1
8,84.78280305862427,75.23897290229797,47.05882352941176,31.818181818181817,24.06278998043604,6.782355574704617,0.9999809689673812,0.10212175288330605,38.70967741935484,36.84210526315789,63.91878772638303,40.52157612612081,1
8,81.80391192436218,75.23897290229797,49.10179640718563,31.818181818181817,26.280710155464384,6.782355574704617,0.00752060853149894,0.10212175288330605,28.57142857142857,36.84210526315789,47.818876783758164,40.52157612612081,1
8,74.45487976074219,75.23897290229797,29.11392405063291,31.818181818181817,0.0,6.782355574704617,0.9999971703825796,0.10212175288330605,58.06451612903226,36.84210526315789,54.14409809755991,40.52157612612081,1
9,76.02688074111938,72.40626215934753,23.115577889447234,19.900497512437813,0.9087951017584972,1.1409256029428274,0.21059773705007712,0.21016213056441102,15.384615384615385,41.17647058823529,37.22204959123006,37.75853399161221,0
9,77.52881646156311,72.40626215934753,22.660098522167488,19.900497512437813,1.984880171827071,1.1409256029428274,0.06682207511418925,0.21016213056441102,18.75,41.17647058823529,35.97517354457586,37.75853399161221,0
